"Date (UTC)","Timestamp (UTC)","Michelle Obama","Ron DeSantis","Kamala Harris","Donald Trump","Joe Biden","Nikki Haley","Vivek Ramaswamy","Gavin Newsom","Robert F. Kennedy Jr.","Chris Christie","Hillary Clinton","Bernie Sanders","AOC","Elizabeth Warren","Kanye West","Other Democrat Politician","Other Republican Politician"
"01-10-2024 00:00","1704844803","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","","","","","",""
"01-11-2024 00:00","1704931203","0.0135","0.017","0.0195","0.285","0.545","0.045","0.01","0.0355","0.029","0.0015","0.0085","0.006","0.01","0.0085","0.005","0.0105","0.005"
"01-12-2024 00:00","1705017603","0.0135","0.0155","0.0195","0.295","0.53","0.055","0.0145","0.037","0.029","0.0015","0.0085","0.006","0.0095","0.008","0.006","0.011","0.006"
"01-13-2024 00:00","1705104002","0.009","0.013","0.019","0.305","0.535","0.045","0.0155","0.0355","0.028","0.0035","0.0045","0.004","0.005","0.0055","0.0025","0.012","0.005"
"01-14-2024 00:00","1705190402","0.0095","0.0135","0.0185","0.305","0.535","0.045","0.0155","0.0355","0.028","0.0035","0.0045","0.0035","0.0045","0.005","0.0025","0.0125","0.0045"
"01-15-2024 00:00","1705276803","0.0095","0.0135","0.0185","0.295","0.535","0.055","0.0155","0.0355","0.028","0.0035","0.0045","0.0035","0.0045","0.005","0.0025","0.0125","0.0045"
"01-16-2024 00:00","1705363202","0.013","0.0215","0.0185","0.285","0.535","0.055","0.0155","0.035","0.028","0.002","0.004","0.001","0.0025","0.005","0.002","0.0125","0.004"
"01-17-2024 00:00","1705449603","0.0135","0.0135","0.0185","0.295","0.535","0.045","0.0015","0.035","0.028","0.002","0.004","0.001","0.0025","0.005","0.0015","0.0125","0.0045"
"01-18-2024 00:00","1705536002","0.0135","0.018","0.0185","0.295","0.535","0.045","0.0015","0.0345","0.028","0.0015","0.004","0.0015","0.0025","0.005","0.0015","0.0125","0.0045"
"01-19-2024 00:00","1705622402","0.0135","0.0175","0.0185","0.295","0.535","0.035","0.0015","0.0345","0.028","0.0015","0.004","0.0015","0.0015","0.005","0.0015","0.0125","0.0045"
"01-20-2024 00:00","1705708803","0.0155","0.0145","0.021","0.285","0.545","0.0325","0.002","0.0445","0.0275","0.0005","0.0035","0.0015","0.0015","0.0045","0.0015","0.018","0.004"
"01-21-2024 00:00","1705795202","0.015","0.014","0.022","0.285","0.545","0.0315","0.002","0.0465","0.0275","0.0005","0.0035","0.0015","0.0015","0.004","0.0015","0.0215","0.004"
"01-22-2024 00:00","1705881602","0.0165","0.009","0.022","0.285","0.545","0.0315","0.002","0.0465","0.027","0.0005","0.0035","0.0015","0.0015","0.004","0.0015","0.0215","0.004"
"01-23-2024 00:00","1705968003","0.0165","0.005","0.0215","0.285","0.545","0.0275","0.002","0.046","0.0275","0.0005","0.003","0.0015","0.0015","0.0035","0.0015","0.0215","0.0045"
"01-24-2024 00:00","1706054402","0.017","0.005","0.0215","0.285","0.545","0.0145","0.002","0.046","0.0275","0.0005","0.003","0.0015","0.0015","0.0035","0.0015","0.019","0.004"
